product_name,ratings_count,top_reviews
SK hynix Gold P31 1TB PCIe NVMe Gen3 M.2 2280 Internal SSD | Up to 3500MB/S | Compact M.2 SSD Form Factor SK hynix SSD | Internal Solid State Drive with 128-Layer NAND Flash,"4,968 ratings","[{'rating_title': 'Best overall deal!', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'The best SSD ever made, 4 stars for abject lie about ""saving 90 dollars""', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'A VERY FAST NVMe SSD!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'pleasantly surprised', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
Sabrent 1TB Rocket 4 Plus NVMe 4.0 Gen4 PCIe M.2 Internal SSD Extreme Performance Solid State Drive (SB-RKT4P-1TB),884 ratings,"[{'rating_title': ""Yes, it's very fast. Edit: Endurance is very poor."", 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Insanely fast', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Absolutely destroys the 980 Pro!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Fast, but random reads are subpar', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': ""It's FAST"", 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
"WD_BLACK 1TB SN750 SE NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 3,600 MB/s - WDS100T1B0E","13,282 ratings","[{'rating_title': 'Fast drive, good temps and price!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'WD Black has no intention of you getting BF2042', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Failed within a week', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'PC keeps freezing', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'As expected', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Nice Specs but not reliable', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': ""Really really fast SSD, but there's this one small typo in the Battlefield instructions..."", 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Review: This NVME is STRAIT TRASH. 0-stars if I could.', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
SAMSUNG 970 EVO Plus SSD 2TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology (MZ-V7S2T0B/AM),"29,079 ratings","[{'rating_title': 'Wow - not just benchmark good, but really GOOD!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Does not work with macOS', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'So far so good', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Great drive, stupid software', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Faster than the 970 Pro for less', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Not compatible with OS X', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Fast', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Great speed and amazing startup times.', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
SAMSUNG (MZ-V8V1T0B/AM) 980 SSD 1TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology,"4,487 ratings","[{'rating_title': 'Great NVMe drive for the price', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Good', 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Samsung software is horrible', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Amazing Drive', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Great product', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': ""The Samsung 980 is the best Gen 3 M.2 SSD I've Owned."", 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'As advertised! Speeds are there and works great.', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
SK hynix Gold P31 1TB PCIe NVMe Gen3 M.2 2280 Internal SSD | Up to 3500MB/S | Compact M.2 SSD Form Factor SK hynix SSD | Internal Solid State Drive with 128-Layer NAND Flash,"4,968 ratings","[{'rating_title': 'Best overall deal!', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'The best SSD ever made, 4 stars for abject lie about ""saving 90 dollars""', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'A VERY FAST NVMe SSD!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'pleasantly surprised', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
Sabrent 2TB Rocket NVMe PCIe M.2 2242 DRAM-Less Low Power Internal High Performance SSD (SB-1342-2TB),879 ratings,"[{'rating_title': 'Suitable for macbook pro A1708', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Install tips for Mac A1708 MacBook Pro 2017', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': ""Didn't fit properly"", 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Heart Broken', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Perfect fit in HP Elitebook 840 G2 - but will not boot', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': 'Awesome SSD for MacBook Pro A1708', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '2242 Form Factor for Alienware 17 R4', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
Sabrent 1TB Rocket 4 Plus NVMe 4.0 Gen4 PCIe M.2 Internal SSD Extreme Performance Solid State Drive (SB-RKT4P-1TB),884 ratings,"[{'rating_title': ""Yes, it's very fast. Edit: Endurance is very poor."", 'star_rating': '3.0 out of 5 stars'}, {'rating_title': 'Insanely fast', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Absolutely destroys the 980 Pro!', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Fast, but random reads are subpar', 'star_rating': '4.0 out of 5 stars'}, {'rating_title': ""It's FAST"", 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
Sabrent Rocket Q 1TB NVMe PCIe M.2 2280 Internal SSD High Performance Solid State Drive R/W 3200/2000MB/s (SB-RKTQ-1TB),"10,259 ratings","[{'rating_title': 'The Acronis Software for Sabrent is a SCAM!', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Dirty Pool, Old Man...', 'star_rating': '2.0 out of 5 stars'}, {'rating_title': 'Disappointed... lac of and misleading information on the question-answer section of this product', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Realtek RTL9210B based enclosure with great build quality', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
Sabrent 1TB Rocket Q4 NVMe PCIe 4.0 M.2 2280 Internal SSD Maximum Performance Solid State Drive R/W 4700/1800 MB/s (SB-RKTQ4-1TB),795 ratings,"[{'rating_title': 'Worked great until it died at 3 months.', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Healt of SSD down 1% after one month!', 'star_rating': '2.0 out of 5 stars'}, {'rating_title': 'i guess my Sabrent 2TB Rocket Q4 NVMe PCIe 4.0 is USED..', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': 'Gamechanger, on par with the GPU revolution', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Weird compatibility issues with ASUS motherboards but it was resolved with reinstalling Windows', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'Works like a charm - odd stats though', 'star_rating': '5.0 out of 5 stars'}, {'rating_title': 'R/W Speed is Unstable and Sometimes Drop Connection from Motherboard', 'star_rating': '1.0 out of 5 stars'}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}, {'rating_title': '', 'star_rating': ''}]"
